player_id,team_id,league_id,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
1,188,103,31,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,214,105,25,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,527,127,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,396,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,291,112,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,862,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,165,101,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,862,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,35,100,47,0,1,1,0,0,0,0,0,0,0,4,4,6,749,794,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
9,426,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,163,101,5,0,0,1,0,0,0,0,0,0,0,3,4,6,600,709,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
11,523,127,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,761,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,184,102,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13,160,101,19,0,0,1,0,0,0,0,0,0,0,0,1,5,44,172,925,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
14,173,102,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15,34,100,12,0,1,1,0,0,0,0,0,0,0,5,5,6,860,860,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,56,100,50,0,1,1,0,0,0,0,0,0,0,3,3,6,516,516,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0
17,211,105,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,42,100,37,0,1,1,0,0,0,0,0,0,0,5,5,6,860,860,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19,56,100,36,0,1,1,0,0,0,0,0,0,0,3,4,6,658,688,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0
21,34,100,6,0,1,1,0,0,0,0,0,0,0,2,2,6,363,506,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
22,51,100,45,0,1,1,0,0,0,0,0,0,0,4,5,6,818,860,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
23,51,100,14,0,1,1,0,0,0,0,0,0,0,2,3,6,380,552,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0
24,208,104,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,216,105,25,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
26,199,104,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
27,57,100,29,0,1,1,0,0,0,0,0,0,0,2,3,6,504,519,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
28,213,105,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,862,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
29,234,107,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,309,114,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,658,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
31,170,101,31,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
34,183,102,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,834,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
36,176,101,36,0,0,0,0,0,0,0,0,0,0,0,0,6,95,124,1097,0,0,0,0,4,0,0,1,29,0,0,0,0,1,0,0,0,0
37,164,101,15,0,0,1,0,0,0,0,0,0,0,0,1,6,9,172,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
39,55,100,24,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,55,100,22,0,1,1,0,0,0,0,0,0,0,1,1,5,172,172,925,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
41,215,105,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
42,431,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
43,180,102,22,0,0,0,0,0,0,0,0,0,0,0,2,6,38,344,1097,0,0,0,0,4,0,0,1,45,0,0,0,0,2,0,0,0,0
44,225,107,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
45,524,127,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,584,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
46,237,108,49,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
47,231,107,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,849,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
48,227,107,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
49,166,101,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,925,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
50,158,101,4,0,0,1,0,1,0,0,0,0,0,0,2,6,170,344,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0
51,51,100,25,0,1,1,0,0,0,0,0,0,0,1,1,6,172,172,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
52,170,101,14,0,0,0,0,0,0,0,0,0,0,1,1,6,172,172,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
53,161,101,44,0,0,0,0,0,0,0,0,0,0,0,1,6,102,286,1097,0,0,0,0,4,0,0,1,185,0,0,0,0,2,0,0,0,0
54,223,106,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
55,41,100,42,0,1,1,0,0,0,0,1,1,0,1,2,6,173,344,1097,0,0,0,0,4,0,0,0,0,0,14,0,0,1,0,0,0,0
56,177,102,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,862,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
57,42,100,39,0,1,1,0,0,0,0,0,0,0,1,3,6,305,587,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0
58,275,110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,682,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
59,655,135,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,255,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
60,36,100,49,0,1,1,0,0,0,0,0,0,0,1,2,6,173,344,1097,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
